0.25,2013-02-21 17:59:59.0,1.25,10699,0,276890779191009000000000,D2I05,2013-02-19 08:58:57.0
0.25,2013-02-21 17:59:59.0,2.75,10699,0,220222381367985000000000,D2I05,2013-02-19 08:58:43.0
0.25,2013-02-21 17:59:59.0,1.5,10699,0,267446046225269000000000,D2I05,2013-02-19 08:58:56.0
0.25,2013-02-21 17:59:59.0,4.5,10699,0,154109250599014000000000,D2I05,2013-02-19 08:58:39.0
0.25,2013-02-21 17:59:59.0,6,10699,0,97440852769394200000000,D2I05,2013-02-19 08:58:23.0
0.25,2013-02-21 17:59:59.0,3,10699,0,210777648402246000000000,D2I05,2013-02-19 08:58:42.0
0.25,2013-02-21 17:59:59.0,0,10699,0,324114444028501000000000,D2I05,2013-02-19 08:59:00.0
0.25,2013-02-23 17:59:59.0,7.5,10699,0,588567550637197000000000,D2I05,2013-02-22 10:41:57.0
0.25,2013-02-23 17:59:59.0,7.25,10699,0,598012284403380000000000,D2I05,2013-02-22 10:48:02.0
0.25,2013-02-23 17:59:59.0,7.75,10699,0,579122816930387000000000,D2I05,2013-02-22 10:36:21.0
1,2013-03-02 17:59:59.0,0,10669,1,59664005732216000000000,D2C01,2013-03-02 08:07:42.0
0.2499,2013-03-06 17:59:59.0,7.5002,10699,0,50219657283285100000000,D2I05,2013-03-04 08:53:52.0
0.2499,2013-03-06 17:59:59.0,7.7501,10699,0,21885447608654300000000,D2I05,2013-03-04 07:31:57.0
1,2013-03-04 17:59:59.0,0,10481,1,12440714752866100000000,D1A02,2013-03-04 07:32:58.0
1,2013-03-04 17:59:59.0,0,10399,1,21885483688028800000000,O9C10,2013-03-04 12:05:37.0
1,2013-03-04 17:59:59.0,0,10481,1,40774949612910300000000,D1A02,2013-03-04 12:05:32.0
0.2499,2013-03-06 17:59:59.0,7.2503,10699,0,59664392865862100000000,D2I05,2013-03-04 09:13:42.0
1,2013-03-04 17:59:59.0,0,10399,1,31330180756912500000000,O9C10,2013-03-04 07:33:34.0
0.2499,2013-03-07 17:59:59.0,7.7501,10699,0,106888252022244000000000,D2I05,2013-03-05 09:46:32.0
1,2013-03-10 05:10:10.0,0,10705,1,31330417838007700000000,D2J04,2013-03-05 13:06:00.0
1,2013-03-10 05:10:10.0,0,10705,0,31330417838007700000000,D2J04,2013-03-05 13:06:00.0
0.7499,2013-03-07 17:59:59.0,4.2505,10699,0,135222458112467000000000,D2I05,2013-03-05 10:41:03.0
0.7499,2013-03-07 17:59:59.0,5.0004,10699,0,125777724416652000000000,D2I05,2013-03-05 10:35:31.0
0.7499,2013-03-07 17:59:59.0,1.2509,10699,0,248559258930615000000000,D2I05,2013-03-05 11:20:41.0
0.7499,2013-03-07 17:59:59.0,2.0008,10699,0,191890859062501000000000,D2I05,2013-03-05 11:04:58.0
0.7499,2013-03-07 17:59:59.0,7.2501,10699,0,97443523689846300000000,D2I05,2013-03-05 10:21:30.0
0.7499,2013-03-07 17:59:59.0,2.7507,10699,0,173001392418539000000000,D2I05,2013-03-05 10:59:34.0
1,2013-03-05 17:59:59.0,0,10399,1,191890870904241000000000,O9C10,2013-03-05 12:34:43.0
0.7499,2013-03-07 17:59:59.0,5.7503,10699,0,116332990967127000000000,D2I05,2013-03-05 10:31:51.0
0.7499,2013-03-07 17:59:59.0,6.5002,10699,0,106888257084395000000000,D2I05,2013-03-05 10:24:53.0
0.7499,2013-03-07 17:59:59.0,3.5006,10699,0,154111925394145000000000,D2I05,2013-03-05 10:51:17.0
1,2013-03-05 17:59:59.0,0,10399,0,173001398723138000000000,O9C10,2013-03-05 11:47:20.0
1,2013-03-06 17:59:59.0,0,10705,1,12441114475920400000000,D2J04,2013-03-06 09:29:00.0
0.2499,2013-03-07 17:59:59.0,7.5002,10699,0,210780505584366000000000,D2I05,2013-03-06 09:53:41.0
1,2013-03-06 17:59:59.0,0,10481,0,12441077543324800000000,D1A02,2013-03-06 05:22:28.0
0.2499,2013-03-07 17:59:59.0,7.7501,10699,0,12441077536727700000000,D2I05,2013-03-06 05:22:17.0
1,2013-03-06 17:59:59.0,0,10399,0,21885810511263100000000,O9C10,2013-03-06 05:22:37.0
0.2499,2013-03-08 17:59:59.0,7.7501,10699,0,144667340926248000000000,D2I05,2013-03-06 05:36:45.0
